DISTRITO,COD_DIST,UGM,HOMBRES,MUJERES,TOTAL,SIN_CARENCIAS,CARENCIAS_1,CARENCIAS_2,CARENCIAS_3,CARENCIAS_4,NULO,TOTAL_CON_CARENCIAS,TOTAL,NORMALIZACION_BASE_100_CARENCIAS,SIN_LIMITACIONES,TOTAL_CON_LIMITACIONES,LIMITACION_VISUAL,LIMITACION_AUDITIVA,LIMITACION_HABLAR,LIMITACION_CAMINAR,LIMITACION_BRAZOS_Y_PIERNAS,LIMITACION_INTELECTUAL,LIMITACION_MENTAL,TOTAL,NORMALIZACION_BASE_100_LIMITACIONES,DEPENDENCIA_EDAD_0_14,DEPENDENCIA_EDAD_MAYORIGUAL_65,EDAD_15_64,TOTAL_DEPENDIENTE,TOTAL,NORMALIZACION_BASE_100_DEPENDIENTES,POBLACION_DESOCUPADA,POBLACION_OCUPADA,FUERA_DE_LA_FUERZA_LABORAL,NORMALIZACION_BASE_100_DESOCUPADOS,MEDIOS_DE_VIDA,NORMALIZACION_BASE_100_MEDIOS_DE_VIDA,LONGITUD_CAMINOS_PCT,NORMALIZACION_BASE_100_10_CAMINOS,AREA_ASP_PCT,NORMALIZACION_BASE_100_10_ASP,AREA_SOBREUSO_PCT,NORMALIZACION_BASE_100_10_SOBREUSO,SUMA_VULNERABILIDADES,INDICE_VULNERABILIDAD_INTEGRADO
Quesada           ,21001,3618,152,157,309,269,40,0,0,0,0,40,309,12.539184952,282,27,16,7,2,8,1,0,2,309,20.454545454,107,17,185,124,309,52.100840336,3,113,103,12.0,65.3928,1.292579135444138,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,117.64374512934052,32.29637215894679
Quesada           ,21001,3681,21,26,47,35,12,0,0,0,0,12,47,3.761755485,44,3,1,0,1,2,1,2,0,47,2.272727272,13,6,28,19,47,7.983193277,0,18,18,0.0,114.2803,39.882479889047374,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,73.15675117494374,17.915792498562208
Quesada           ,21001,3803,11,9,20,12,8,0,0,0,0,8,20,2.50783699,17,3,2,2,0,0,0,0,0,20,2.272727272,4,3,13,7,20,2.94117647,1,8,8,4.0,161.88,77.45584115524605,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,108.43417713914242,29.319346418422864
Quesada           ,21001,4016,104,119,223,192,31,0,0,0,0,31,223,9.717868338,208,15,6,3,0,8,1,1,1,223,11.363636363,79,4,140,83,223,34.873949579,0,87,78,0.0,94.2394,24.062968929949708,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,99.27501846184607,26.358615668307863
Quesada           ,21001,4145,29,42,71,62,9,0,0,0,0,9,71,2.821316614,68,3,3,0,0,0,0,0,0,71,2.272727272,18,1,52,19,71,7.983193277,0,37,21,0.0,117.1037,42.111162595009496,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,74.44499500990585,18.332221918577922
Quesada           ,21001,4290,16,19,35,35,0,0,0,0,0,0,35,0.0,31,4,3,1,0,0,0,0,0,35,3.03030303,9,3,23,12,35,5.042016806,0,13,13,0.0,133.3199,54.911603374361704,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,82.24051846225807,20.852152712640212
Quesada           ,21001,4321,76,75,151,135,16,0,0,0,0,16,151,5.015673981,145,6,3,2,1,4,2,1,0,151,4.545454545,30,18,103,48,151,20.168067226,1,73,54,4.0,86.8827,18.255874624165347,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,71.24166562806171,17.296734256694503
Quesada           ,21001,4333,14,15,29,29,0,0,0,0,0,0,29,0.0,25,4,4,0,0,0,0,0,0,29,3.03030303,6,2,21,8,29,3.361344537,0,13,11,0.0,123.7999,47.39688375944372,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,73.04512657834007,17.8797094490947
Quesada           ,21001,4571,98,103,201,131,68,2,0,0,0,70,201,21.943573667,192,9,2,1,1,4,0,2,0,201,6.818181818,65,15,121,80,201,33.613445378,1,73,74,4.0,101.7441,29.986888708739098,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,115.61868482363548,31.641764183565797
Quesada           ,21001,4598,25,24,49,41,7,0,0,0,1,7,49,2.194357366,42,7,0,2,5,4,4,0,3,49,5.303030303,5,11,33,16,49,6.722689075,1,20,23,4.0,114.28,39.882243080656146,6.559543403112553,7.151003545920612,12.065766260795852,6.893093149096471,26.316349689133673,5.2124985568792805,77.35891507655252,19.27415698583288
