DISTRITO,COD_DIST,UGM,HOMBRES,MUJERES,TOTAL,SIN_CARENCIAS,CARENCIAS_1,CARENCIAS_2,CARENCIAS_3,CARENCIAS_4,NULO,TOTAL_CON_CARENCIAS,TOTAL,NORMALIZACION_BASE_100_CARENCIAS,SIN_LIMITACIONES,TOTAL_CON_LIMITACIONES,LIMITACION_VISUAL,LIMITACION_AUDITIVA,LIMITACION_HABLAR,LIMITACION_CAMINAR,LIMITACION_BRAZOS_Y_PIERNAS,LIMITACION_INTELECTUAL,LIMITACION_MENTAL,TOTAL,NORMALIZACION_BASE_100_LIMITACIONES,DEPENDENCIA_EDAD_0_14,DEPENDENCIA_EDAD_MAYORIGUAL_65,EDAD_15_64,TOTAL_DEPENDIENTE,TOTAL,NORMALIZACION_BASE_100_DEPENDIENTES,POBLACION_DESOCUPADA,POBLACION_OCUPADA,FUERA_DE_LA_FUERZA_LABORAL,NORMALIZACION_BASE_100_DESOCUPADOS,MEDIOS_DE_VIDA,NORMALIZACION_BASE_100_MEDIOS_DE_VIDA,LONGITUD_CAMINOS_PCT,NORMALIZACION_BASE_100_10_CAMINOS,AREA_ASP_PCT,NORMALIZACION_BASE_100_10_ASP,AREA_SOBREUSO_PCT,NORMALIZACION_BASE_100_10_SOBREUSO,SUMA_VULNERABILIDADES,INDICE_VULNERABILIDAD_INTEGRADO
Nicoya            ,50201,39195,33,25,58,42,16,0,0,0,0,16,58,8.29015544,47,11,2,1,2,4,0,5,1,58,12.087912087,10,6,42,16,58,7.207207207,0,23,26,0.0,108.8819,24.697087068482375,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,65.91643306167856,18.228954052306303
Nicoya            ,50201,39216,6,7,13,12,1,0,0,0,0,1,13,0.518134715,12,1,1,0,0,0,0,0,0,13,1.098901098,4,1,8,5,13,2.252252252,0,5,6,0.0,171.4,82.42029348138203,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,99.92365280557823,28.902164179738044
Nicoya            ,50201,39225,47,40,87,65,22,0,0,0,0,22,87,11.39896373,77,10,6,4,0,2,2,0,2,87,10.989010989,21,14,52,35,87,15.765765765,1,24,46,7.692307692,127.3599,41.757896787548695,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,101.23801622274487,29.31467884694324
Nicoya            ,50201,39280,40,46,86,1,31,30,24,0,0,85,86,44.041450777,68,18,5,6,4,9,0,1,1,86,19.78021978,22,9,55,31,86,13.963963963,0,9,59,0.0,180.92,91.21014674069102,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,182.6298525198872,54.8596124815947
Nicoya            ,50201,39300,15,15,30,30,0,0,0,0,0,0,30,0.0,24,6,6,0,0,0,0,0,0,30,6.593406593,7,2,21,9,30,4.054054054,0,12,13,0.0,152.3599,64.8404946323727,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,89.12202653856889,25.51205973327098
Nicoya            ,50201,39307,39,46,85,71,14,0,0,0,0,14,85,7.25388601,72,13,7,3,2,2,2,2,0,85,14.285714285,19,3,63,22,85,9.909909909,1,38,30,7.692307692,94.2337,11.172346678460334,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,63.94823583365653,17.61123279355283
Nicoya            ,50201,39328,19,19,38,33,1,4,0,0,0,5,38,2.590673575,36,2,0,0,0,1,0,0,1,38,2.197802197,10,2,26,12,38,5.405405405,3,7,19,23.076923076,152.3599,64.8404946323727,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,111.74537014456888,32.61242553530752
Nicoya            ,50201,39349,42,38,80,54,24,2,0,0,0,26,80,13.47150259,71,9,6,2,1,2,1,2,0,80,9.89010989,17,3,60,20,80,9.009009009,2,15,48,15.384615384,133.32,47.26088044414612,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,108.65018857634232,31.640998776254047
Nicoya            ,50201,39399,44,29,73,0,40,30,3,0,0,73,73,37.823834196,63,10,2,3,3,5,2,0,1,73,10.989010989,13,10,50,23,73,10.36036036,2,24,36,15.384615384,155.9199,68.12745656547564,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,156.31934875367185,46.602026669812055
Nicoya            ,50201,39449,54,51,105,92,12,1,0,0,0,13,105,6.735751295,93,12,8,6,0,11,3,0,0,105,13.186813186,21,11,73,32,105,14.414414414,3,38,47,23.076923076,122.7937,37.541906456387274,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,108.58987968658346,31.622070752799146
Nicoya            ,50201,39460,20,31,51,38,8,5,0,0,0,13,51,6.735751295,45,6,2,3,1,0,0,0,0,51,6.593406593,15,4,32,19,51,8.558558558,0,10,29,0.0,142.84,56.050733703455094,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,91.57252140865128,26.28115073399222
Nicoya            ,50201,39547,63,58,121,51,28,38,4,0,0,70,121,36.269430051,96,25,10,3,6,8,1,1,3,121,27.472527472,22,22,77,44,121,19.819819819,5,39,57,38.461538461,126.7189,41.166058978807406,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,176.8234460410036,53.03726425962566
Nicoya            ,50201,39582,28,36,64,53,11,0,0,0,0,11,64,5.699481865,49,15,12,1,2,1,1,0,0,64,16.483516483,15,8,41,23,64,10.36036036,1,27,23,7.692307692,115.3229,30.64408757722283,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,84.51382523641902,24.065769763736704
Nicoya            ,50201,39662,122,134,256,224,23,5,3,0,1,31,256,16.062176165,243,13,11,3,1,7,2,0,0,256,14.285714285,66,15,175,81,256,36.486486486,3,94,111,23.076923076,90.7668,7.971344339731521,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,111.51671561092772,32.54066201266378
Nicoya            ,50201,39673,39,40,79,74,5,0,0,0,0,5,79,2.590673575,76,3,2,0,0,0,0,0,1,79,3.296703296,21,0,58,21,79,9.459459459,0,30,33,0.0,119.9868,34.95028470076182,25.345475769967152,0.0,1.0067801200062836,9.212409987257423,16.048979944241196,4.421661271938774,63.93119228995801,17.60588365520573
